State,CONVERTTO,NUMBER,REPEAT,PAIR_MAP,VALUE,MINUS,MULT_ASSIGN,LBRACKET,LEN,FALSE,GEQ,TRUE,DIV,EQ,DOT,GET,OUTPUT,RSHIFT,RPAREN,OR,RBRACKET,KEY,QUOTE,AND,NUMBER_TYPE,DECIMAL,GT,PLUS,SORT,SEMICOLON,LSHIFT,LT,NONE,MULT,COMMA,IDENTIFIER,NOT,FOR,MINUS_ASSIGN,PLUS_ASSIGN,ASSIGN,OTHERWISE,SHOW,BINARY_TYPE,BITWISE_AND,TEXT_TYPE,TOTEXT,CHOOSE_WHAT,METHOD,BITWISE_NOT,LEQ,LPAREN,BITWISE_OR,TEXT,RCURLY,END,ε,IF,MOD,UNTIL,PICK,COLON,LCURLY,EXPONENT,BITWISE_XOR,START,SEMI,DECIMAL_TYPE,NEQ,LIST_OF,$,INPUT_STMT,PARAM_LIST,LIST_DECL,COLLECTION_METHOD,BIT_BASE,BITOR_EXPR,CHOOSE_WHAT_STMT_KLEENE,MULTI_OP,COLLECTION_STMT,REPEAT_LOOP,PROGRAM,TERM,DATA_TYPE,PICK_CASE,LOGICNOT_EXPR,RETURN_STMT,PAIR_MAP_DECL,PAIR_MAP_VAL,CHOOSE_WHAT_STMT,LOGICAND_EXPR,EXPRESSION,ARG_LIST,STMT,BLOCK_STMT_KLEENE,BASE,BITAND_EXPR,OUTPUT_STMT,COLLECTION_ASSIGN,SHIFT_OP,SIMPLE_STMT,RELATIONAL_OP,BITNOT_EXPR,BIT_EXPR,REPEAT_UNTIL,RELATIONAL_EXPR,LIST_DECL_GROUP,CONDITIONAL_EXPR,PROGRAM_KLEENE,FUNC_DECL,IO_STATEMENT,CONDITIONAL_STMT_GROUP,FOR_LOOP,PAIR_MAP_VALUE,ADD_OP,PAIR,CONV_EXPR,FUNC_CALL_OPT,LIST_VALUE,COLLECTION_EXPR,ASSIGN_OP,PARAM_LIST_GROUP,DECL_STMT,PAIR_MAP_KEY,FACTOR,BITSHIFT_EXPR,EXP_OP,ARG_LIST_GROUP,COMPOUND_STMT,BLOCK_STMT,FUNC_DECL_OPT,PAIR_MAP_VAL_GROUP,BINARY,LOOP_STMT,CONDITIONAL_STMT,ASSIGNMENT_STMT,LOGICOR_EXPR,FUNC_CALL,S',CONST,BITXOR_EXPR
241,,,,,,r25,,,,,,,,,,,,,r25,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r25,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,r17,,,,,,,r17,,,,,,r17,,,,,,,,r17,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,s236,,,,,,,s237,s112,,s113,,,,,,,,,,,s227,,,s228,,,s230,,,,s239,,,s232,s115,,,,,,,,,,,,,,,s243,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,226,,,97,,,,,99,360,,,,231,,,,,,,,,,104,,233,,,,,,234,,,240,,235,241,,,,,242,,,,,,,,244,,,,107,,,245,
244,,,,,,r30,,,,,,,,,,,,,r67,r67,,,,r67,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r30,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,r22,,,,,,,,,,,,,r22,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r22,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,s362,,,,,,,,s364,,,,,,,,,,,s365,,s366,,,,,,,,,,,,,,,,,,,,,,s363,,,,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,r18,,,,,,,r18,,,,,,,,,,,,r18,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,r29,,,,,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r29,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
